Job Title,Location,Industry,Sector,salary_average
data scientist,"Andover, MA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,145500
data scientist,"Richmond, VA",IT Services,Information Technology,145500
data scientist,"Menlo Park, CA",Architectural & Engineering Services,Business Services,145500
data scientist,"Aliso Viejo, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,145500
data scientist,"New Hyde Park, NY",Healthcare Services & Hospitals,Healthcare,145500
data scientist,"New York, NY",-1,-1,145500
data scientist,"Chicago, IL",Staffing & Outsourcing,Business Services,145500
data scientist,"Conshohocken, PA",Home Furniture and Houseware Shops,Retail,145500
data scientist,"Richmond, VA",-1,-1,145500
data scientist,"New York, NY",TV Broadcasting & Cable Networks,Media,145500
data scientist,"Wichita, KS",Banks & Building Societies,Finance,145500
data scientist,"Philadelphia, PA",IT Services,Information Technology,145500
data scientist,"Elmhurst, IL",Staffing & Outsourcing,Business Services,145500
data scientist,"Sandy, UT",Staffing & Outsourcing,Business Services,145500
data scientist,"Cincinnati, OH",Chemical Manufacturing,Manufacturing,145500
data scientist,"San Francisco, CA",Other Retail Shops,Retail,145500
data scientist,"South San Francisco, CA",Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,145500
